,id,synopsis,movie_rating,genre,director,writer,theater_date,dvd_date,currency,box_office,runtime,studio,review,review_rating,fresh,critic,top_critic,publisher,date
28792,1143,"Adapted from Anne Holm's 1963 novel of the same name, I Am David is a family adventure film from writer/director Paul Feig, one of the creators of the short-lived, cult-favorite television dramedy Freaks and Geeks. Ben Tibber stars as David, a boy who, with the help of his friend Johannes (James Caviezel), escapes from a Bulgarian prison camp and begins a harrowing journey that leads him to Denmark via Italy. I Am David also stars Joan Plowright, Maria Bonnevie, and Silvia De Santis.",PG,Drama,Paul Feig,Paul Feig,"Dec 3, 2004","Apr 5, 2005",$,252018,95 minutes,Lions Gate Films,"While some parents might wish the film had more emotional depth, they will probably appreciate the gentle humor. Then they can introduce their children to the book.",0.5,rotten,Peter T. Chattaway,0,Christianity Today,"September 25, 2006"
28923,1149,"A failing high-school football coach finds that in order to succeed he must convince his team that there's more to sports than fame and glory in an inspirational tale of courage on the gridiron and the power of God's word. Grant Taylor (Alex Kendrick) has been coaching the Shiloh Eagles for six years, and he has yet to realize his dream of a winning season. When the team's star player transfers schools, the first three games of the new season show no promise for improvement, troubles at home begin to take their toll, and a plot among the player's fathers to have him fired finds his future in football looking bleak, Coach Taylor is faced with the prospect of either cutting his losses and admitting defeat or turning his life over to God in an attempt to test the true power of faith. With his job on the line and nothing left to lose, Coach Taylor convinces his determined team of underdogs that there's nothing they can't accomplish with a little faith -- including the miracle of a winning season when all hope seems lost.",PG,Drama|Faith and Spirituality,Alex Kendrick|Stephen Kendrick,Alex Kendrick|Stephen Kendrick,"Sep 29, 2006","Jan 30, 2007",$,10127352,111 minutes,Destination Film,Faith-based pigskin tale.,0.6,fresh,Heather Boerner,0,Common Sense Media,"December 18, 2010"
28943,1150,"A laid-back health inspector's comfortable routine receives an unwelcome shake up when he's assigned the task of training his new rookie partner and investigating the outbreak of a mysterious illness at one of the city's most posh restraints in this no-holds-barred comedy starring Blue Collar standup king Larry the Cable Guy. It's all greasy spoons and low-rent ethnic eateries in the world of seasoned big-city health inspector Larry (Larry the Cable Guy), and that's just the way he likes it. After begrudgingly accepting the task of training by-the-books trainee Amy (Iris Bahr), Larry lands the biggest case of his career when a group of high-class diners fall ill following a particularly pricey meal. Though the gruff but lovable health inspector soon loses his job as a direct result of his questionable manners, he soon wins the heart of a shy waitress while attempting to go undercover to crack the case and ensure that the conspirators who engineered the poisonous plan are brought to justice.",PG-13,Comedy,Trent Cooper,Jonathan Bernstein|James Greer,"Mar 24, 2006","Aug 8, 2006",$,15655665,89 minutes,Lions Gate Films,Dumb comedy should be cited for bad taste.,0.2,rotten,Heather Boerner,0,Common Sense Media,"December 18, 2010"
28996,1155,"""Valentino: The Last Emperor"" provides a first-time glimpse into Valentino's world of bygone glamour. Filmed from June 2005 to July 2007, the crew shot over 250 hours of footage with exclusive, unprecedented access to Valentino and his entourage. The resulting non-fiction film is a portrait of an extraordinary partnership, the longest running in fashion, and a dramatic story about a master confronting the final act of his celebrated career.",PG-13,Documentary|Special Interest,Matt Tynauer|Matt Tyrnauer,,"Mar 18, 2009","Sep 8, 2009",$,1569618,96 minutes,Truly Indie,"A unique, abiding and eye-opening glance at the boisterous life of a legendary fashion designer who vehemently seeks pleasure only to be disappointed by its fleeting and faulty nature.",0.7,fresh,Alexander Ryll,0,Gay Essential,"November 3, 2018"
29084,1161,"Screenwriter Nimrod Antal makes an impressive directorial debut in this surreal, atmospheric and entirely subterranean black comedy-thriller about transit officials in a Budapest subway dealing with unruly riders and a serial killer. Sandor Csanyi, Zoltan Mucsi, Csaba Pindroch, Sandor Badar, Zsolt Nagy, Bence Matyassi.",R,Action and Adventure|Art House and International|Drama|Mystery and Suspense,,,"Apr 1, 2005","Aug 30, 2005",$,116783,105 minutes,ThinkFilm Inc.,"It's not a perfect film by any means, but it certainly succeeds quite well in telling its tale with enough charm and gore to keep thing interesting.",0.73,fresh,Jason Gorber,0,Film Scouts,"June 21, 2007"
29145,1162,"SNL alumni Tina Fey steps into the well worn shoes of journalist Kim Barker in Paramount Pictures' adaptation of Barker's memoir The Taliban Shuffle: Strange Days in Afghanistan and Pakistan, which details her years as a reporter in Pakistan and Afghanistan beginning in 2002.",R,Comedy|Drama,Glenn Ficarra|John Requa,Robert Carlock,"Mar 4, 2016","Jun 28, 2016",$,18356529,111 minutes,Paramount Pictures,"Whiskey Tango Foxtrot is sometimes entertaining, sometimes annoying, and sometimes does make us think. Even so, it's just not as deep as it wants or needs to be to hit home. ",0.67,rotten,Abbie Bernstein,0,Assignment X,"October 31, 2018"
29582,1169,"From masters of horror Blumhouse Productions- producer of THE PURGE, INSIDIOUS and SINISTER franchises- THE LAZARUS EFFECT follows a group of researchers led by Frank (Mark Duplass) and his fianc",PG-13,Horror,David Gelb,Luke Dawson|Jeremy Slater,"Feb 27, 2015","Jun 16, 2015",$,20467547,83 minutes,Relativity Media,"While the storyline is not the most original, this film still gives a few good scares. ",0.65,fresh,Molly Henery,0,The Blogging Banshee,"November 2, 2018"
29756,1180,"Despite having recently presided over a very successful Halloween, Jack Skellington, aka the Pumpkin King, is bored with his job and feels that life in Halloweenland lacks meaning. Then he stumbles upon Christmastown and promptly decides to make the Yuletide his own.",PG,Animation|Kids and Family|Science Fiction and Fantasy,Henry Selick|Tim Burton,Tim Burton|Caroline Thompson|Michael McDowell,"Oct 24, 1993","Dec 2, 1997",$,8616662,76 minutes,Touchstone Pictures,"On a visual level, the movie qualifies as poetry in stop-motion.",0.88,fresh,Matt Brunson,0,Creative Loafing,"September 10, 2018"
29831,1183,"After making a striking directorial debut with her screen adaptation of The Virgin Suicides, Sofia Coppola offers a story of love and friendship blooming under unlikely circumstances in this comedy drama. Bob Harris (Bill Murray) is a well-known American actor whose career has gone into a tailspin; needing work, he takes a very large fee to appear in a commercial for Japanese whiskey to be shot in Tokyo. Feeling no small degree of culture shock in Japan, Bob spends most of his non-working hours at his hotel, where he meets Charlotte (Scarlett Johansson) at the bar. Twentysomething Charlotte is married to John (Giovanni Ribisi), a successful photographer who is in Tokyo on an assignment, leaving her to while away her time while he works. Beyond their shared bemusement and confusion with the sights and sounds of contemporary Tokyo, Bob and Charlotte share a similar dissatisfaction with their lives; the spark has gone out of Bob's marriage, and he's become disillusioned with his career. Meanwhile, Charlotte is puzzled with how much John has changed in their two years of marriage, while she's been unable to launch a creative career of her own. Bob and Charlotte become fast friends, and as they explore Tokyo, they begin to wonder if their sudden friendship might be growing into something more.",R,Comedy|Drama|Romance,Sofia Coppola,Sofia Coppola,"Sep 26, 2003","Feb 3, 2004",$,44566004,102 minutes,Focus Features,Depicts a very specific mental state too shaded and delicate for most movies to feel comfortable approaching it.,0.8,fresh,Tim Brayton,0,Antagony &amp; Ecstasy,"July 29, 2013"
30165,1200,In 1881 a younger member of the notorious James gang becomes so inextricably drawn to and frightened of his mentor that his own delusions of grandeur force him to consider doing the unthinkable.,R,Action and Adventure|Drama|Western,Andrew Dominik,Andrew Dominik,"Oct 5, 2007","Feb 5, 2008",$,3900000,159 minutes,Warner Bros. Pictures,An early-established folkloric weight and timelessness runs throughout Dominik's neo-western masterpiece. ,1.0,fresh,Jordan Raup,0,The Film Stage,"September 21, 2017"
30617,1210,"A woman finds herself drafted into the battle of finding the perfect man in this romantic comedy. Sarah Nolan (Diane Lane) is a kindergarten teacher in her mid-thirties who is still dealing with the emotional aftermath of her divorce eight months ago. While her sisters, Christine (Ali Hillis) and Carol (Elizabeth Perkins), both think Sarah needs to start dating again, Sarah herself isn't so sure. Carol decides to force the issue by posting Sarah's photo and profile on an Internet dating site, and soon a number of seemingly eligible bachelors are sending her e-mails in hopes of a date. However, nearly every man she meets turns out to be a loser, with the exception of Jake (John Cusack), who is smart, good looking, and even brings along a dog for their walk in the park (though he doesn't tell her the pooch was borrowed for the occasion). However, Sarah also makes the acquaintance of Bob (Dermot Mulroney), the divorced father of one of her students, and she finds herself having to choose between two potentially worthwhile men. Meanwhile, Sarah's widowed father, Bill (Christopher Plummer), decides to give Internet dating a try, and lands himself a new steady in Dolly (Stockard Channing). Must Love Dogs is based on the best-selling novel of the same title by Claire Cook.",PG-13,Comedy|Drama|Romance,Gary David Goldberg,Gary David Goldberg,"Jul 29, 2005","Dec 20, 2005",$,43800000,98 minutes,Warner Bros. Pictures,"An insult to the viewer's intelligence, which sticks to silly slapstick while failing to get around to making a mature statement about relationships.",0.25,rotten,Kam Williams,0,Princeton Town Topics,"May 7, 2007"
30780,1215,"A woman, stacked against all odds, manages to not just stick it out but indeed give it back.",NR,Mystery and Suspense,Navdeep Singh,Sudip Sharma,,,$,262586,120 minutes,,Anushka Sharma and her co-stars are ferociously good in this succinct thriller.,0.7,fresh,Manjusha Radhakrishnan,0,Gulf News (UAE),"September 5, 2017"
30921,1223,"A once-loving Chicago couple whose happily-ever-after quickly turned into a never-again finds their crumbling romance complicated when both parties refuse to move out of the pair's recently purchased condo. The Break-Up is a romantic comedy that starts where all the others end. The future once looked promising for thirtysomething couple Brooke (Jennifer Aniston) and Gary (Vince Vaughn), but lately it seems like a series of increasingly petty and intolerable squabbles have snuffed any semblance of romance in their relationship. Their confrontation endlessly fueled by mean-spirited suggestions of revenge tactics from friends and family and their stubborn refusal to budge resulting in an excruciating stalemate, Brooke and Gary ultimately decide to spitefully stick it out as hostile roommates until the weaker party eventually admits defeat. As the competition to drive one another out grows increasingly intense and outrageous, however, Brooke eventually comes to the realization that she's not fighting for possession of the condominium as much as she is fighting to salvage her relationship with the man she once viewed as the love of her life.",PG-13,Comedy|Drama|Romance,Peyton Reed,Vince Vaughn|Jeremy Garelick|Jay Lavender,"Jun 1, 2006","Oct 17, 2006",$,118683135,107 minutes,Universal Pictures,"was mostly shocked by Vince Vaughan, who showed me for the first time that he wasn't the long-delayed immature frat boy he so often plays, but actually an imperfect hilarious, yet often silly, character who's main flaw is his selfishness.",0.73,fresh,Candice Frederick,0,Reel Talk Online,"September 11, 2017"
31106,1231,"THE ROVER, David Michod's highly anticipated follow-up to ANIMAL KINGDOM, is set in a world 10 years following the collapse of society. The rule of the law has disintegrated and life is cheap. The film follows hardened loner Eric (Pearce) as he travels the desolate towns and roads of the outback. When a gang of thieves steals his car they leave behind a wounded Rey (Pattinson) in their wake. Forcing Rey to help track the gang, Eric will go to any lengths to take back the one thing that still matters to him. Michod also wrote the film based on a story he conceived with Joel Edgerton. (c) A24",R,Mystery and Suspense|Science Fiction and Fantasy|Western,,,"Jun 13, 2014","Sep 23, 2014",$,709133,103 minutes,A24 Films,"Poor plot aside, it boasts two stellar performances.",0.4,rotten,Debashine Thangevelo,0,Independent Online (South Africa),"March 28, 2016"
31273,1236,"AMERICAN PASTORAL follows Seymour ""Swede"" Levov, a legendary high school athlete, who grows up to marry a former beauty queen and inherits his father's business. Swede's seemingly perfect life shatters when his daughter rebels by becoming a revolutionary and committing a deadly act of political terrorism during the Vietnam War.",R,Drama,Ewan McGregor,John Romano,"Oct 21, 2016","Feb 7, 2017",$,541457,126 minutes,Lakeshore Entertainment,Quickly dissolves into contrived drama and uneven and skewed character motivations. ,0.4,rotten,Mae Abdulbaki,0,Punch Drunk Critics,"August 14, 2018"
31372,1237,"Sarah Jessica Parker, Greg Kinnear, Pierce Brosnan, Olivia Munn and Christina Hendricks star in I Don't Know How She Does It, a comedy from director Douglas McGrath (Emma, Infamous) and producer Donna Gigliotti (The Reader, Let Me In). Based on the critically acclaimed bestseller by Allison Pearson, I Don't Know How She Does It follows a Boston-based working mother trying desperately to juggle marriage, children, and a high-stress job. -- (C) Weinstein",PG-13,Comedy,Douglas McGrath,Aline Brosh McKenna,"Sep 16, 2011","Jan 3, 2012",$,9500000,89 minutes,The Weinstein Co.,"Let's face it; Parker and the rest of the cast could do this with their eyes closed. It's the cinematic equivalent of a ""stop gap"" -- just something to fill in the time until a proper role comes along. ",0.4,rotten,Cleaver Patterson,0,CineVue,"November 26, 2018"
31475,1239,"Something mysterious is happening in the Hundred Acre Wood. There are strange rumblings in the night, and the ground shakes and quakes. Pooh, Piglet, Tigger and Roo are told by Rabbit that it can only be one thing: Heffalumps. Whether or not Heffalumps are friends or foes remains to be seen.",G,Animation|Kids and Family,Frank Nissen,Brian Hohlfeld|Evan Spiliotopoulos,"Feb 11, 2005","May 24, 2005",$,18013938,67 minutes,Buena Vista,"There's not a scrap of Milne left, at this point.",0.5,rotten,Tim Brayton,0,Antagony &amp; Ecstasy,"April 5, 2013"
31571,1243,"The true-life story of a coach who tries to teach his players that there's more to life than basketball is brought to the screen in this sports drama. Ken Carter (Samuel L. Jackson) was once a star player on the Richmond High School basketball team in Richmond, CA, and years later, after establishing himself in publishing and marketing, he returns to the school and to the team as the new basketball coach. Carter quickly sees that his work is cut out for him -- the team is having an awful season, and their fights off the court are more decisive than their play on the court. While Carter wants to make the Richmond cagers into a winning team, he also wants a lot more -- to teach the boys to respect themselves and one another, and that they must excel in the classroom as well as in the gymnasium. Under Carter's guidance, the team turns their losing season around, with the state title a genuine possibility. However, when Carter learns that a number of his players have let their grade point averages slip below 2.3, as mandated in a contract he entered into with the students, he decides to lock the team out of the gym and send them into study hall until their marks improve. Carter's plan quickly becomes a subject of controversy among parents and team boosters, and their objections are soon picked up by the local news media, many of whom are not sympathetic to Carter's belief that his players must have goals beyond college ball or the NBA. Coach Carter also features Rob Brown and Rick Gonzalez as members of the team, and R&amp;B; diva Ashanti in her film debut as the girlfriend of one of Carter's players.",PG-13,Drama,Thomas Carter,Mark Schwahn|John Gatins,"Jan 14, 2005","Jun 21, 2005",$,67169549,136 minutes,Paramount Pictures,A quality sports drama.,0.6,fresh,Leigh Paatsch,0,Herald Sun (Australia),"September 27, 2018"
31836,1256,"Marc Forster's psychological thriller Stay stars Ewan McGregor as Sam Foster, a psychologist who begins to feel his grip on reality slipping away because of one of his patients. Ryan Gosling plays Henry Letham, a patient who has been offering disturbing predictions that have come true. When he claims that Henry will kill himself in three days, the psychiatrist sets off on a journey to help him. Written by David Benioff, the film co-stars Naomi Watts.",R,Drama|Mystery and Suspense|Science Fiction and Fantasy,Marc Forster,David Benioff,"Oct 21, 2005","Mar 28, 2006",$,3349167,99 minutes,20th Century Fox,"It is both straightforward and abstract, using cinematic tricks to put the audience in Sam/Henry's headspace. The result is a bit a sense of intentional vertigo that may cloud the films ultimately humanist point.",0.9,fresh,Joshua Starnes,0,ComingSoon.net,"March 30, 2011"
31952,1260,"With the recent assault on Berlusconi in Milan where a man threw a statuette at the prime minister hitting him in the face and causing considerable injury, and the subsequent notice by his administration that the government would seek tighter controls on Facebook and other social networking sites which they claim ""instigate"" violence against the prime minister, this elucidating probe of Italian mass media and political skullduggery comes to U.S. audiences at a bizarre and critical moment in Italian history.Thirty years ago, Silvio Berlusconi bought a local television channel and aired a late-night quiz show featuring a sexy housewife who took off her clothes to reward callers for correct answers. The only complaints came from local factories whose employees stayed up late to watch and were too tired to work the next day. From then on, Berlusconi's empire grew and his shows became evermore heavily populated with half-naked women known as veline, young starlets charged with posing and dancing sexy and silent next to the host.How can one explain the devolution of the politics and media culture of Italy in the age of its current prime minister and media emperor Silvio Berlusconi? As the owner of Mediaset, he controls the majority of the country's private television stations, and other media outlets such as, for example, Medusa, the country's largest motion picture producer. As Italy's political leader, he maintains considerable control of the state-run RAI channels, affording him an unprecedented hybrid of executive power and private interest to control the airwaves - and to numb the minds of the populace and unapologetically shape public opinion to his financial and political benefit. Cut to August of 2009 when, as reported by the Associated Press, the powers that be at RAI and Mediaset channels refused to broadcast the trailer of the a small independent film called VIDEOCRACY (just prior to its world premiere at the Venice Film Festival) calling the spots ""offensive to the honor and personal reputation of the prime minister."" The film dared to probe the methods and lives of key players in Berlusconi's empire, examining how they thrive in the secret leveraging of their own conflicted interests in the realms of fame, politics and finance. Understanding that words simply cannot do his story justice, director Erik Gandini richly illustrates VIDEOCRACY with the trashy TV clips, bucolic political spots and brazen press conferences that swept Berlusconi into power - and the pandering that outshines the crassest of American broadcasters by far. Approaching the material as both insider and outsider, Gandini gains remarkable access to the opulent world of Berlusconi's associates and the armies of willing wannabes that swarm around them. Subjects range from Silvio himself, to talent agent Lele Mora, to the infamous paparazzo Fabrizio Corona (currently imprisoned for extortion), to a factory worker seeking the fame that only television can supply. In an environment where any journalist inclined to criticism faces temptation to join the party, Gandini maintains a critical distance and unravels for the viewer a modern Italy as both comedy and tragedy. -- (C) Lorber",NR,Documentary|Special Interest|Television,Erik Gandini,Erik Gandini,"Aug 28, 2009","Sep 7, 2010",$,363,84 minutes,Lorber Films,"Less than the sum of its parts; colorful, but not quite a forceful enough inquisition into the go-go, power-grab pop intersection of fame, tabloidism and information management to connect in lasting emotional fashion.",0.53,rotten,Brent Simon,0,Shared Darkness,"August 12, 2010"
32006,1263,A man who writes the book on ending a romance runs into rough sledding while starting a new one in this comedy. Quincy (Jamie Foxx) is a magazine editor whose life takes an unexpected turn for the worse when his fianc,PG-13,Comedy|Romance,Daniel Taplitz,Daniel Taplitz,"May 14, 2004","Oct 12, 2004",$,11827301,86 minutes,Screen Gems,Not much worth seeing in this mess of a movie.,0.4,rotten,Nell Minow,0,Common Sense Media,"December 22, 2010"
32097,1265,"Beth (Diane Keaton) saves a bedraggled lost dog from the side of the freeway on a wintry day in Denver. Struggling with her distracted, self-involved husband Joseph (Kevin Kline) and an empty nest at home, Beth forms a special bond with the rescued animal. When Joseph loses the dog after their daughter's (Elisabeth Moss) wedding at their vacation home in the Rockies, Beth, distraught and angry with Joseph, enlists the help of the few remaining guests (Dianne Wiest, Richard Jenkins, Mark Duplass) and a mysterious woman (Ayelet Zurer) in a frantic search. -- (C) Sony Classics",PG-13,Comedy|Drama,Lawrence Kasdan,Lawrence Kasdan|Meg Kasdan,"Apr 20, 2012","Aug 28, 2012",$,793352,103 minutes,Sony Pictures Classics,"This film is intelligent and beautifully acted. It's a movie about a group of people searching for a lost dog for days, and I never once looked at my watch.",0.8,fresh,Debbie Baldwin,0,Ladue News,"November 20, 2018"
32255,1279,"A handful of kids stranded without their parents is determined to make the most of a bad situation in this comedy. It's Christmas Eve, and Oliver Porter (Lewis Black), the passenger relations manager at a busy airport in the Midwest, is looking forward to spending Christmas in Hawaii with his wife after 15 years in a row working on the busy Yuletide holiday. However, fate conspires against him when a massive snowstorm sweeps in and all flights are canceled. Porter suddenly has to deal with a number of stranded passengers, including six tween-age kids who are each flying unaccompanied from one divorced parent to another -- spoiled little rich girl Grace (Gina Mantegna), geeky but likable Spencer (Dyllan Christopher), his pesky little sister Katy (Dominique Saldana), plus-size comic book fan Beef (Brett Kelly), grumpy tomboy Donna (Quinn Shephard), and bright but mischievous Charlie (Tyler James Williams). With his hands full and determined to make his way to the islands, Porter puts his assistant Zach Van Bourke (Wilmer Valderrama) in charge of the kids. Zach doesn't care for this assignment and the kids don't care for him, and before long they've escaped from the basement conference room where he's stashed them and turned the airport into their playground. Unaccompanied Minors also features Paget Brewster, Rob Corddry and Teri Garr.",PG,Comedy|Kids and Family,Paul Feig,Mya Stark|Jacob Meszaros,"Dec 8, 2006","Aug 7, 2007",$,16614132,89 minutes,Warner Bros.,...a bottom-of-the-barrel comedy that'll probably leave even small children exhausted by its nonstop energy. ,0.25,rotten,David Nusair,0,Reel Film Reviews,"February 4, 2016"
32371,1288,"A New Jersey rent-a-cop gets his moment to shine as the holidays approach and Santa's little helpers stage a coup at the local shopping mall in this comedy starring King of Queens' Kevin James. Paul Blart (James) is a single suburban dad attempting to make ends meet by working as a mall security guard. Paul takes his job very seriously; unfortunately the same can't be said for the shoppers he deals with on a daily basis. That all changes the day that Santa's little helpers shut down the mall and start taking hostages, including Paul's daughter and his main squeeze. Realizing that no one knows the mall better than the man who's paid to guard it, Paul mounts his Segway and speeds to the rescue.",PG,Comedy,Steve Carr,Kevin James|Nick Bakay,"Jan 16, 2009","May 19, 2009",$,146336178,91 minutes,Sony Pictures/Columbia Pictures,"Unmemorable, unfunny and unoriginal.",0.4,rotten,David Jenkins,1,Time Out,"November 18, 2011"
32481,1290,"It has been two decades since master filmmaker GEORGE A. ROMERO's zombies have stalked the screens of motion picture theaters. For years, fans around the world have been eagerly awaiting his return.And now that day is here.An all-new chapter of horror is about to begin...George A. Romero's Land of the Dead is the acclaimed director's long-awaited return to the genre he invented, beginning with the seminal Night of the Living Dead and continuing with Dawn of the Dead and Day of the Dead.In Romero's harrowing newest vision, the world (as humankind has known it) is merely a memory. In its place is the never-ending nightmare existence of us-the living-versus them-the ""walkers."" What's left of mankind is cordoned off behind the walls of a fortified city while the walking dead roam the vast wasteland beyond. The few wealthy and powerful try to maintain an illusion of life as it was, dwelling high above the city in the exclusive towers of Fiddler's Green, the last bastion of the ruling class. On the streets below, however, the remaining, less fortunate of the city's inhabitants eke out a hard-scrabble life, seeking what little solace they can in the vices available-gambling, flesh trade, drugs-anything that offers even a fleeting respite from the hell their lives have become.Both the lofty heights of Fiddler's Green and the demoralizing lows of the city below are lorded over by a handful of ruthless opportunists, led by Kaufman (DENNIS HOPPER), who keeps his hands in everything, from real estate to less above-board pursuits. To bring food and other essential supplies to the occupants of the city and to allow the Green's well-to-do to acquire the scarce luxury items to which they were once accustomed, a hardened group of mercenaries-headed by Riley (SIMON BAKER) and his second-in-command, Cholo (JOHN LEGUIZAMO)-run retrieval missions outside the city, protected by their massive armored vehicle, Dead Reckoning. Riley and Cholo, like Kaufman, are in it for the money, which they hope to use for their own escapes- Riley to the North, with promises of ""a world without fences"" and freedom, and Cholo to the luxury of Fiddler's Green, far away from the violent life he has known.While Kaufman and his employees concern themselves with commerce, life is changing both within and beyond the walls of the city. Unrest and anarchy are on the rise among the city's disenfranchised and outside, the army of the dead is changing, evolving, learning to organize and communicate.When Cholo commandeers Dead Reckoning, intent on extorting millions out of Kaufman and his cronies, Riley and his ragtag group-including Slack (ASIA ARGENTO) and Charlie (ROBERT JOY)-are called into action to stop Cholo and, in the process, protect the city and its population from the growing army of evolving zombies storming its weakening perimeter.Universal Pictures and Atmosphere Entertainment MM present A Mark Canton-Bernie Goldmann and Romero-Grunwald Production, in association with Wild Bunch: George A. Romero's Land of the Dead, starring Simon Baker, Dennis Hopper, Asia Argento, Robert Joy and John Leguizamo. Written and directed by Romero, the film is produced by MARK CANTON (Taking Lives), PETER GRUNWALD (Monkey Shines) and BERNIE GOLDMANN (Taking Lives).Joining Romero behind the camera are director of photography MIROSLAW BASZAK (Picture Claire), production designer ARV GREYWAL (upcoming 16 Blocks), editor MICHAEL DOHERTY (New Blood), costume designer ALEX KAVANAGH (upcoming Saw 2) and composers REINHOLD HEIL and JOHNNY KLIMEK (Shattered Glass). STEVE BARNETT, DENNIS E. JONES, RYAN KAVANAUGH and LYNWOOD SPINKS serve as executive producers. --",R,Action and Adventure|Drama|Horror|Mystery and Suspense,,,"Jun 24, 2005","Oct 18, 2005",$,20433940,92 minutes,Universal Pictures,"George A. Romero's Land of the Dead is a decent follow up to his classic ""Dead"" trilogy, delivering compelling characters, a thrilling narrative, and plenty of zombie action/gore.",0.7,fresh,Jeff Beck,0,The Blu Spot,"October 30, 2017"
32669,1292,"Writer/director Lisa Cholodenko follows up her much-acclaimed 1997 debut High Art with this examination of a young couple seduced into a hedonistic, left-coast lifestyle. Taking its title from its central locale, Laurel Canyon focuses on a pair of upper-middle class lovebirds from the East Coast who relocate to Los Angeles. Freshly minted from Harvard, Sam (Christian Bale) and Alex (Kate Beckinsale) are eager to continue their medical studies out West, but they need some lodging while they hunt for a home. Enter Jane (Frances McDormand), Sam's estranged, Age-of-Aquarius mom, who's more than willing to put the couple up in her lavish digs. Jane is a successful record producer whose latest charge -- both in the studio and in her bedroom -- is Ian (Alessandro Nivola), a brazen, libidinous twentysomething Brit-rocker. As Sam and Alex settle in at Jane's, they gradually lose their straight-and-narrow approach to life and begin to experiment. Alex takes to Ian and Jane, while Sam is wooed by co-worker Sara (Natascha McElhone). Laurel Canyon features a score by Shudder to Think's Craig Wedren; the music for Ian's band was provided by Sparklehorse's Mark Linkous and indie-rockers Folk Implosion.",R,Art House and International|Drama,Lisa Cholodenko,Lisa Cholodenko,"Mar 7, 2003","Jul 15, 2003",$,3596939,103 minutes,Sony Pictures Classics,"It pulled me in with its friendly, inclusive, nonjudgmental appraisal of human nature.",1.0,fresh,Rob Gonsalves,0,eFilmCritic.com,"September 24, 2007"
32964,1305,"A cow learns to walk like a man, both literally and figuratively, in this computer-animated comedy written and directed by Steve Oedekerk, the creator of Jimmy Neutron: Boy Genius. Ben (voice of Sam Elliott) is a cow who for years has been the leader and sober voice of reason among the animals at a farm where the critters are a bit unusual -- they can walk on two legs, talk, swim, and act like humans, though they have the good sense to avoid doing these things while humans are around. Ben has long dreamed that his son Otis (voice of Kevin James) would someday take over his duties on the farm, but Otis is a carefree and irresponsible type who would rather party with his friends and hang out with his girlfriend, Daisy (voice of Courteney Cox). Ben and his friend Miles (voice of Danny Glover), a wise and patient mule, wonder if Otis will ever make anything of himself, while Dasiy's best friend, Bessy (voice of Wanda Sykes), is convinced she can do better. However, one night Otis decides to do something about an obnoxious kid who enjoys tipping his fellow cows, and for the first time in his life he gets a taste of leadership -- and he likes it. Barnyard also features the voice talents of Andie MacDowell, Maria Bamford, and Maurice LaMarche.",PG,Animation|Comedy|Kids and Family,Steve Oedekerk,Steve Oedekerk,"Aug 4, 2006","Dec 12, 2006",$,72601713,90 minutes,Paramount Pictures,A shockingly crass grab for holiday pocket money that's both infantile and endlessly patronising.,0.2,rotten,Luke Goodsell,0,Empire Magazine Australasia,"November 7, 2012"
33045,1307,"HITCHCOCK is a love story about one of the most influential filmmakers of the last century, Alfred Hitchcock and his wife and partner Alma Reville. The film takes place during the making of Hitchcock's seminal movie Psycho.",PG-13,Drama,Sacha Gervasi,,"Nov 23, 2012","Mar 12, 2013",$,6002708,98 minutes,Fox Searchlight Pictures,"Even if you've never seen a Hitchcock film in your life, it's worth seeing for the performances alone.",0.9,fresh,Debbie Baldwin,0,Ladue News,"November 20, 2018"
33399,1317,"For an awkward, self-conscious girl like Kiki, being the personal assistant to a beautiful mega-star like Gwen isn't easy. But when she dutifully accepts the task of helping Gwen and her estranged mega-star husband Eddie make it through one last public appearance masterminded by legendary press agent Lee Phillips, forever devoted Kiki finds that her job is about to get even harder. At first it seems her challenge is to keep the peace between Gwen and Eddie and their public image intact, but soon Kiki is faced with a more personal concern as her longtime friendship with Eddie begins to take a romantic turn.",PG-13,Comedy|Drama|Romance,Joe Roth,Donna Roth|Billy Crystal|Peter Tolan,"Jul 20, 2001","Nov 13, 2001",$,93008426,103 minutes,Columbia Pictures,So-so sitcom-like story of estranged movie stars.,0.4,rotten,Nell Minow,0,Common Sense Media,"December 21, 2010"
33537,1320,"No matter whom we are, no matter where we live, we're all bound by borders. Many of us are content to live within these borders--others are simply forced to exist within them. But some of us need to break out, burst through, even if what is on the other side is both frightening and unknown. From this comes the tale of one young man's dilemma as he navigates his way through his colliding worlds. Set against Detroit's hip-hop scene in 1995, the story centers on Jimmy Smith Jr., a young white rapper, who struggles to find his voice. The people of Detroit know '8 Mile' as the city limit or a border. It is also a psychological dividing line that separates Jimmy from where and who he wants to be, as he struggles to find the strength and courage to transcend his boundaries.",R,Drama,Curtis Hanson,Scott Silver,"Nov 8, 2002","Mar 18, 2003",$,116638030,111 minutes,Universal Pictures,"A lot of the themes and language in the movie haven't aged well...the soundtrack is amazing, though.",0.4,rotten,Brandon Collins,0,Medium Popcorn,"October 3, 2018"
